Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O'Higgins,Maule,Ñuble,Biobío,Araucania,Los Ríos,Los Lagos,Aysén,Magallanes,Total
2020-06-07,0,37,15,13,8,27,471,16,24,1,18,9,2,4,0,0,645
2020-06-08,7,9,11,9,13,40,325,8,16,4,5,7,4,0,1,0,459
2020-06-09,1,10,23,2,9,19,201,5,21,10,6,7,3,9,0,0,326
2020-06-10,0,21,14,3,3,25,385,8,28,8,14,1,0,1,0,0,511
2020-06-11,2,13,15,2,14,35,350,12,15,5,22,13,1,3,0,5,507
2020-06-12,5,36,13,4,14,22,385,5,15,3,15,9,3,7,0,1,537
2020-06-13,14,29,12,7,8,24,349,10,35,2,17,15,3,6,0,9,540
2020-06-14,2,22,17,1,9,18,383,23,32,2,21,4,8,9,0,19,570
2020-06-15,0,23,26,13,24,24,286,8,10,5,21,5,14,3,0,21,483
2020-06-16,2,11,4,4,9,11,399,14,18,3,11,8,1,1,0,19,515
2020-06-17,6,9,19,15,13,25,282,13,16,7,22,1,4,5,0,0,437
2020-06-18,1,13,27,7,20,16,207,14,32,10,22,9,3,2,0,0,383
2020-06-19,4,14,33,12,9,21,367,12,37,41,29,9,2,4,0,5,599
2020-06-20,1,19,45,4,11,21,225,28,12,8,25,8,2,3,0,6,418
2020-06-21,3,20,21,4,15,17,288,88,62,7,33,11,3,13,0,9,594
2020-06-22,3,16,24,7,6,21,218,25,14,0,44,7,4,3,0,7,399
2020-06-23,0,18,27,15,4,12,178,18,27,0,27,2,0,3,0,5,336
2020-06-24,6,11,31,6,5,18,141,10,16,4,15,1,0,0,0,0,264
2020-06-25,9,11,41,21,29,14,202,9,23,2,45,3,0,4,0,10,423
2020-06-26,0,19,24,7,6,13,217,28,22,7,50,4,5,3,1,7,413
2020-06-27,2,15,20,13,4,20,239,22,25,12,23,6,0,7,1,17,426
2020-06-28,9,16,27,4,5,23,193,31,14,9,40,9,4,7,5,6,402
2020-06-29,5.0,15.0,38.0,17.0,17.0,16.0,226.0,25.0,24.0,1.0,27.0,10.0,3.0,8.0,0.0,0.0,432.0
2020-06-30,4.0,18.0,13.0,18.0,5.0,13.0,203.0,18.0,17.0,1.0,14.0,5.0,4.0,3.0,0.0,2.0,338.0
2020-07-01,4,14,27,20,7,16,142,16,20,1,27,0,2,2,0,2,300
2020-07-02,1,17,31,3,0,8,98,33,14,2,13,1,1,6,0,2,230
2020-07-03,0,21,33,12,3,10,152,31,12,8,23,9,0,4,0,4,322
2020-07-04,7,11,33,14,5,17,187,36,15,6,22,6,1,10,0,1,371
2020-07-05,1,30,54,16,15,26,194,23,10,6,41,4,1,12,2,3,438
2020-07-06,10,34,33,15,19,12,157,33,15,8,38,20,2,3,0,5,404
2020-07-07,3,25,47,3,4,10,113,25,11,6,13,5,1,0,0,0,266
2020-07-08,1,27,21,9,7,19,119,6,9,13,16,2,2,12,1,1,265
2020-07-09,12,31,34,17,13,15,191,33,10,27,31,1,7,1,0,9,432
2020-07-10,5,21,35,13,36,30,185,77,12,5,25,10,0,2,0,4,460
2020-07-11,15,20,40,15,14,27,187,14,9,14,33,1,1,10,0,5,405
2020-07-12,1,12,27,10,10,20,207,41,10,14,19,6,0,8,0,4,389
2020-07-13,1,14,55,22,16,35,208,17,33,3,31,2,0,11,1,2,451
2020-07-14,5,2,20,13,1,11,116,34,13,1,11,1,3,10,0,3,244
2020-07-15,6,6,15,8,4,14,80,5,4,6,16,12,1,4,0,5,186
2020-07-16,3,7,35,9,11,27,176,14,21,12,30,4,8,10,0,0,367
2020-07-17,1,21,35,1,39,34,297,20,37,9,20,10,3,12,5,1,545
2020-07-18,3,14,40,14,16,12,174,12,16,36,26,6,0,1,0,3,373
2020-07-19,6,10,34,5,24,27,158,20,16,7,23,6,1,20,0,2,359
2020-07-20,9,38,16,20,7,28,163,13,9,9,17,4,5,2,0,0,340
2020-07-21,8,5,10,16,5,10,127,9,17,2,6,3,1,10,0,1,230
2020-07-22,10,4,32,3,8,25,118,14,2,1,8,2,0,7,0,4,238
2020-07-23,21,9,29,13,6,19,196,23,14,10,11,5,1,18,0,4,379
2020-07-24,9,13,40,14,16,13,170,21,13,3,20,16,1,23,0,1,373
2020-07-25,7,17,35,29,12,44,150,11,24,4,38,4,4,20,0,0,399
2020-07-26,23,20,20,55,17,14,150,19,15,1,32,3,3,72,0,5,449
2020-07-27,27,17,46,1,17,21,225,9,25,10,26,17,4,39,2,1,487
2020-07-28,6,94,33,10,24,13,215,5,7,1,16,8,4,12,0,14,462
2020-07-29,22,9,26,22,20,4,146,11,19,11,22,11,1,20,1,1,346
2020-07-30,16,23,28,40,10,13,125,18,23,5,28,5,2,27,0,25,388
2020-07-31,9,16,32,43,30,26,197,11,17,5,25,11,4,22,0,2,450
2020-08-01,21,21,22,37,33,24,181,8,7,6,20,5,0,47,0,8,440
2020-08-02,4,9,34,33,23,22,192,28,23,7,27,10,2,50,2,7,473
2020-08-03,11,32,60,60,16,21,231,17,14,3,23,13,3,17,0,6,527
2020-08-04,13,10,28,16,11,8,159,13,15,3,7,6,2,47,0,12,350
2020-08-05,9,10,68,35,17,5,265,20,4,2,12,7,0,19,0,9,482
2020-08-06,13,7,38,10,18,10,174,19,23,0,21,15,0,33,0,22,403
2020-08-07,20,12,22,29,21,21,245,51,32,4,65,10,1,34,1,2,570
2020-08-08,23,4,37,48,10,61,209,69,27,13,54,6,7,19,0,17,604
2020-08-09,29,26,21,5,26,18,224,21,27,6,58,7,0,21,6,7,502
2020-08-10,33,18,38,108,31,13,223,18,23,5,29,15,5,19,1,26,605
2020-08-11,12,35,26,54,16,13,129,41,17,5,42,3,5,11,0,15,424
2020-08-12,13,22,21,33,17,27,151,37,24,19,8,8,4,30,0,7,421
2020-08-13,15,12,26,30,22,30,166,22,24,6,41,9,5,14,0,3,425
2020-08-14,16,28,34,48,20,31,262,22,38,10,50,10,1,28,0,18,616
2020-08-15,22,19,23,52,34,32,223,19,31,0,26,17,1,28,0,25,552
2020-08-16,23,23,33,64,36,54,249,21,42,1,34,7,1,32,2,12,634
2020-08-17,24,29,30,51,15,28,198,8,15,7,43,8,1,16,0,7,480
2020-08-18,9,28,20,62,36,23,147,19,21,3,23,10,0,22,0,20,443
2020-08-19,4,5,22,26,20,45,112,8,20,5,20,10,0,14,0,5,316
2020-08-20,18,12,20,22,27,22,182,15,38,7,39,9,0,23,1,18,453
2020-08-21,27,25,40,23,14,48,181,18,19,2,49,15,2,21,0,12,496
2020-08-22,27,18,25,51,56,27,248,9,26,11,41,6,5,24,0,26,600
2020-08-23,16,24,26,25,52,36,163,17,43,9,50,5,8,36,0,44,554
2020-08-24,16,15,45,50,35,43,186,46,16,11,48,2,3,18,0,46,580
2020-08-25,11,21,28,52,27,27,183,17,24,8,16,11,0,11,2,35,473
2020-08-26,4,9,33,8,20,31,101,20,22,11,34,3,1,13,2,4,316
2020-08-27,14,18,31,15,15,22,140,22,22,6,64,3,2,12,0,64,450
2020-08-28,16,11,35,35,38,55,172,29,37,14,34,18,1,30,1,17,543
2020-08-29,27,21,27,28,13,73,206,30,43,20,87,14,1,21,5,29,645
