Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes
2020-06-23,126,334,568,183,254,811,7325,391,576,164,1192,181,169,273,14,146
2020-06-24,115,318,558,181,262,832,6547,468,689,278,1266,200,138,562,127,34
2020-06-25,213,384,735,264,399,794,9279,420,794,305,1830,445,235,1044,73,232
2020-06-26,197,505,564,232,499,1029,9508,437,853,252,1852,530,312,1309,57,113
2020-06-27,211,349,709,279,339,751,9824,347,821,370,1514,703,234,1272,61,160
2020-06-28,183,607,689,342,363,853,9636,499,736,305,1979,614,282,1028,77,177
2020-06-29,153,380,705,321,317,856,9757,465,605,204,1615,473,197,346,196,209
2020-06-30,122,352,479,464,276,619,7311,483,575,160,1059,357,193,582,42,275
2020-07-01,172,522,681,290,262,905,4489,339,652,157,812,314,151,422,30,187
2020-07-02,141,320,668,236,207,590,4439,405,637,298,1176,243,209,1000,125,137
2020-07-03,216,375,784,237,234,846,7928,346,647,330,1640,597,258,842,114,191
2020-07-04,229,590,707,292,414,935,9027,396,921,215,1409,583,238,1102,134,95
2020-07-05,252,607,855,286,393,974,8983,435,742,404,1854,571,198,1155,123,172
2020-07-06,223,786,752,325,391,931,7868,533,641,340,1677,764,195,664,97,190
2020-07-07,145,548,628,179,262,602,6349,525,521,170,969,342,168,494,25,138
2020-07-08,174,503,699,182,257,631,4449,232,468,217,1098,345,132,704,170,203
2020-07-09,260,435,820,303,297,727,8366,583,737,454,1478,338,244,1454,106,240
2020-07-10,191,462,730,294,412,1018,8943,823,800,428,1620,540,229,958,69,210
2020-07-11,313,480,887,364,415,925,8332,783,770,434,1823,459,199,1781,130,173
2020-07-12,298,621,677,302,284,1034,10072,713,800,372,1534,752,189,1324,56,143
2020-07-13,243,413,775,362,234,816,9723,755,815,426,1389,366,197,644,83,226
2020-07-14,199,406,654,265,205,654,5699,667,693,357,1044,259,164,865,16,91
2020-07-15,264,227,509,321,374,741,5149,497,613,377,1226,659,195,848,132,77
2020-07-16,242,321,726,216,259,706,8431,638,896,524,1709,677,234,1419,115,79
2020-07-17,264,675,695,0,394,1055,9206,754,864,230,1769,618,256,1654,176,89
2020-07-18,299,568,739,553,285,816,9248,377,680,897,1768,403,140,720,29,194
2020-07-19,192,306,745,415,661,1107,6431,583,751,332,1454,514,257,1633,83,264
2020-07-20,409,689,534,299,394,823,8592,500,830,386,1413,388,204,618,51,213
2020-07-21,298,534,378,334,352,572,5898,244,894,277,1089,435,149,906,12,218
2020-07-22,249,374,606,407,265,916,5588,487,543,275,1147,417,257,931,107,224
2020-07-23,396,369,602,404,547,996,8695,612,834,463,1776,497,338,2031,119,188
2020-07-24,414,732,732,328,636,960,9839,815,966,413,2101,663,293,1967,117,95
2020-07-25,377,277,589,625,639,1144,8543,638,1126,298,1812,646,196,2026,136,61
2020-07-26,343,429,763,517,545,980,8220,846,987,420,2034,403,259,2421,118,424
2020-07-27,246,792,771,13,598,964,10138,589,1276,887,1923,1022,235,1604,80,406
2020-07-28,436,1358,763,1101,530,967,7421,382,702,342,1225,837,215,1081,19,217
2020-07-29,365,468,863,382,661,753,6998,650,1103,378,1397,781,202,1898,154,77
2020-07-30,385,604,752,1000,672,1463,6724,1251,1296,539,2099,592,325,2121,155,317
2020-07-31,396,390,856,660,771,1337,9338,819,1435,468,2203,802,275,2609,96,419
2020-08-01,438,584,826,655,856,1787,9440,774,1267,658,2378,800,270,3089,109,467
2020-08-02,441,588,1113,865,757,2193,9627,998,1389,580,1785,983,262,2496,151,671
2020-08-03,546,555,1209,1081,876,1340,10415,1066,1202,532,2343,663,226,1676,62,477
2020-08-04,387,418,1292,189,755,1392,8169,857,1138,354,1387,652,173,1244,21,429
2020-08-05,490,1515,1424,1371,917,930,7727,648,599,484,1798,598,206,2334,151,206
2020-08-06,497,599,1096,534,808,1718,8916,1105,1369,550,1867,659,330,2245,137,372
2020-08-07,535,659,952,689,956,1629,9267,1272,1525,516,2719,1122,348,2820,141,93
2020-08-08,623,465,1139,334,875,2230,10430,1335,1783,484,2299,1090,313,2879,146,612
2020-08-09,747,650,1298,605,903,1961,10606,1317,1647,610,2942,737,335,2973,149,980
2020-08-10,895,474,1745,1361,914,1980,9508,1404,1482,600,2128,950,213,1752,57,549
2020-08-11,807,716,2053,720,785,1692,8587,1014,1048,508,1738,493,310,1347,17,414
2020-08-12,452,455,1059,724,678,1471,7168,871,1052,401,1349,1208,225,1990,103,142
2020-08-13,482,637,1000,452,902,1844,8680,1152,1586,505,2689,725,335,2201,97,341
2020-08-14,480,669,1033,639,680,1941,11730,1219,1528,590,2480,845,367,2753,176,488
2020-08-15,718,559,1006,801,1299,2364,10335,1237,1900,435,2695,1096,354,3020,123,557
2020-08-16,547,687,1086,784,1068,3034,10984,1687,1700,650,3287,860,302,3175,150,881
2020-08-17,755,748,910,734,778,2274,10405,1024,1213,539,2665,916,230,1496,59,543
2020-08-18,473,532,2261,874,812,1884,8307,1026,1720,572,1634,703,204,1736,30,431
2020-08-19,213,292,1162,566,626,2252,6376,865,1548,302,1633,995,231,1876,158,180
2020-08-20,622,481,907,416,709,2614,9347,1158,2208,686,2893,903,415,2406,82,431
2020-08-21,560,645,925,692,716,2886,10534,1228,1588,638,3142,896,384,3023,153,659
2020-08-22,581,612,1000,762,1044,2782,11483,1414,1945,682,2751,892,377,2864,134,404
2020-08-23,668,742,1184,757,1249,2972,11671,1614,1860,457,3080,1022,277,3557,231,640
2020-08-24,628,850,1176,807,950,2859,10206,1537,1576,595,2728,753,348,1549,185,707
2020-08-25,613,517,2625,607,1008,2337,9031,1218,1146,436,1689,910,281,1427,29,629
2020-08-26,226,517,1337,403,765,2171,6983,841,1527,556,1596,836,364,1753,107,275
2020-08-27,404,593,1513,304,1258,2076,10147,1053,1611,482,3311,835,367,2284,150,631
2020-08-28,519,578,865,597,1202,3096,11225,1718,1610,947,3155,920,522,2726,98,496
2020-08-29,647,719,985,429,1015,3741,11743,1374,1996,849,3301,1000,409,3304,157,568
